ID,Año,Semana Epidemiológica (a),Total de Casos de Dengue (b),Tasa de Incidencia (c),Confirmados Laboratorio,% Lab Conf (x100),Dengue Grave (d),(DG/D) x100 (e),Muertes,Letalidad (f),Población X 1000,ID_Pais_Subregion,ID_Serotipo,ID_Calendario
164,2020,53,9,"0,04946",9,"100,00000",0,"0,00000",0,0.00000,18197,15,6,4
165,2017,52,1832,"26,89767",616,"33,62445",0,"0,00000",0,0.00000,6811,16,1,1
166,2022,52,7428,"99,71808",195,"2,62520",26,"0,35003",0,0.00000,7449,16,1,9
167,2023,52,63216,"836,85465",14936,"23,62693",0,"0,00000",24,0.03797,7554,16,1,10
168,2024,18,261237,"3.458,26052",33363,"12,77116",0,"0,00000",82,0.03139,7554,16,1,11
169,2014,53,10014,"144,75282",2601,"25,97364",5,"0,04993",5,0.04993,6918,16,7,6
170,2015,52,68652,"976,14105",5258,"7,65892",13,"0,01894",5,0.00728,7033,16,7,7
171,2019,52,11811,"171,24837",1161,"9,82982",,,9,0.07620,6897,16,7,3
172,2020,53,223782,"3.244,62810",62090,"27,74575",167,"0,07463",75,0.03351,6897,16,7,4
173,2021,52,16897,"234,03047",794,"4,69906",,,4,0.02367,7220,16,7,5
174,2016,52,70215,"1.044,08922",2556,"3,64025",48,"0,06836",16,0.02279,6725,16,5,8
175,2018,52,32359,"469,17500",3414,"10,55039",,,15,0.04635,6897,16,12,2
176,2014,53,0,"0,00000",0,,0,,0,,3419,17,4,6
177,2015,52,13,"0,37901",0,"0,00000",0,"0,00000",0,0.00000,3430,17,4,7
178,2017,52,0,"0,00000",0,,0,,0,,3457,17,4,1
179,2018,52,0,"0,00000",0,,0,,0,,3470,17,4,2
180,2019,52,0,"0,00000",0,,0,,0,,3470,17,4,3
181,2021,52,52,"1,49211",2,"3,84615",0,"0,00000",0,0.00000,3485,17,4,5
182,2022,52,80,"2,29555",20,"25,00000",0,"0,00000",0,0.00000,3485,17,4,9
183,2023,52,48,"1,37733",48,"100,00000",0,"0,00000",0,0.00000,3485,17,4,10
184,2016,52,19,"0,55168",19,"100,00000",0,"0,00000",0,0.00000,3444,17,10,8
185,2020,53,4,"0,11527",4,"100,00000",0,"0,00000",0,0.00000,3470,17,10,4
186,2024,19,572,"16,41320",572,"100,00000",0,"0,00000",1,0.17483,3485,17,1,11
187,2014,53,2522,"22,39986",2522,"100,00000",0,"0,00000",0,0.00000,11259,18,4,6
188,2023,,,,,,,,,,11317,18,4,10
189,2019,52,3259,"28,36626",2935,"90,05830",3,"0,09205",0,0.00000,11489,18,1,3
190,2020,26,1418,"12,34224",1418,"100,00000",1,"0,07052",,,11489,18,1,4
